HAZARDMAPCELLREFERENCE,HAZARDMAP,HAZARDRATINGBYMAP,FILENAME
BP169,5.0.1 Operator non-compliance - Certified operator or licence holder performing regulated work beyond scope of certification or  licence,3.0,operating_temp_control_decal_reading_10_deg__higher_than_set_point.png
BP169,5.0.1 Operator non-compliance - Certified operator or licence holder performing regulated work beyond scope of certification or  licence,3.0,LWCO_probe_and_dated_decal.png
BP169,5.0.1 Operator non-compliance - Certified operator or licence holder performing regulated work beyond scope of certification or  licence,3.0,Differential_flow_switch_tagged_May_1991.png
BP169,5.0.1 Operator non-compliance - Certified operator or licence holder performing regulated work beyond scope of certification or  licence,3.0,operating_and_high_temp_controls.png
BP169,5.0.1 Operator non-compliance - Certified operator or licence holder performing regulated work beyond scope of certification or  licence,3.0,high_temperature_shut_down_set_point.png
BP089,2.0.1 Control system may overrun - No evidence that manufacturer recommended scheduled maintenance program established for service and testing of Operating controls,2.0,flow_switch_tagged_date.png
BP089,2.0.1 Control system may overrun - No evidence that manufacturer recommended scheduled maintenance program established for service and testing of Operating controls,2.0,Differential_flow_switch.png
BP089,2.0.1 Control system may overrun - No evidence that manufacturer recommended scheduled maintenance program established for service and testing of Operating controls,2.0,low_water_cut_out_probe_tag.png
BP106,3.0.1 Safeties will not function - Pressure Relief Device Relief valve for boilers installed with spindle horizontal,2.0,RELIEF_HORIZONTAL.png
EL050,"Protection and control, Risk Reg EL-24-2014
Loading of distribution equipment exceeded.",3.0,To_meter.png
EL092,"Continuity
Bonding conductor is not observed or broken",4.0,No_bond.png
EL112,"Conductors
Equipment is not approved for the specific use.",3.0,NMS_through_soffit.png
EL039,"Equipment is not marked / identified
Multiple service boxes not marked.",2.0,Main_disconnect.png
EL072,"Effective grounding
Bonding; 
metal boxes, cabinets, or covers are not bonded to ground",4.0,Power_supply_above_electric_valve.png
EL072,"Effective grounding
Bonding; 
metal boxes, cabinets, or covers are not bonded to ground",4.0,Actuator.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Flexible_cords.png
EL090,"Continuity
Bonding;
method for equipment is not adequate.",3.0,Switch_ground.png
EL090,"Continuity
Bonding;
method for equipment is not adequate.",3.0,No_private_fuse.png
EL157,"Installation of electrical equipment
• Equipment  is damaged and needs to be either replaced or repaired; and 
• Not suitable for continued use.",4.0,Exterior.png
EL157,"Installation of electrical equipment
• Equipment  is damaged and needs to be either replaced or repaired; and 
• Not suitable for continued use.",4.0,Interior.png
EL229,"Class II, wood dust, Risk Reg EL-22-2014
Minor cleanup required, and or

Record management is incomplete.  

Wood dust mitigation and fire plans are in place and being followed.",2.0,Edge_saw_floor.png
EL096,"Effective bonding and grounding
Bonding jumper at service equipment, distribution centre or load centre has not been installed, or has been removed",3.0,Panel_skihill.png
EL083,"Continuity
Separately derived system, communication or similar system has not been properly grounded",4.0,Transformer_nameplate_XO_not_grounded_.png
EL249,"Category 1
• Equipment  is damaged and needs to be either replaced or repaired; and 
• Not suitable for continued use.",4.0,North_side.png
EL004,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is normally accessible to authorized persons only.",4.0,Taped_over.png
EL139,"Installation of electrical equipment
Residential: 
receptacle has not been provided within 1 m of a sink.",3.0,Wet_zone.png
EL028,"Improper installation or location of equipment, conductors, cables or raceways
Mechanical protection for conductors is not adequate",4.0,Broken_weatherhead_1.png
EL103,"Separation of circuits
Conductors of different low voltage systems are not suitably separated from one and another.",3.0,120_and_600.png
GA051,Non-compliant material/fittings installed,3.0,Hose.png
GA051,Non-compliant material/fittings installed,3.0,Piping.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Splices.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Behind_genset.png
EL090,"Continuity
Bonding;
method for equipment is not adequate.",3.0,Groundmat.png
EL090,"Continuity
Bonding;
method for equipment is not adequate.",3.0,Switch_mat_ground.png
EL167,"Protection and control
Controller is not of proper type.",3.0,CompressorStarter.png
EL173,"Installation of electrical equipment
Equipment is not approved for the specific use",3.0,Shingle_used_as_motor_connection_box_cover.png
GA051,Non-compliant material/fittings installed,3.0,Un_approved_connector.png
EL074,"Effective grounding, high voltage
Fence is not installed.",4.0,Fence_not_bonded.png
EL116,"Conductors, Risk Reg EL-15-2014
Misuse of flexible cords.",4.0,Server_feeder.png
EL031,"Improper installation or location of equipment, conductors, cables or raceways
Equipment is not suitable for the location",4.0,Not_approved.png
EL120,"Conductors
Cables, Raceways or conductors are damaged and need to be either replaced or repaired.",3.0,Water_heater_connector_missing.png
EL103,"Separation of circuits
Conductors of different low voltage systems are not suitably separated from one and another.",3.0,Mixed_voltages_in_splitter.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Ground_relay.png
EL064,"General
Working space or dedicated space is being used for storage",1.0,Volt_storage.png
EL189,"Installation of electrical equipment
• Equipment is showing signs of deterioration; and 
• repairs or maintenance required.",3.0,Switch.png
EL189,"Installation of electrical equipment
• Equipment is showing signs of deterioration; and 
• repairs or maintenance required.",3.0,Dirty_vault.png
GA051,Non-compliant material/fittings installed,3.0,Hose1.png
GA133,Appliance installed in a proposed hazardous location,2.0,Canfor_Mackenzie_2.png
GA133,Appliance installed in a proposed hazardous location,2.0,Canfor_Mackenzie.png
EL005,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is not normally accessible to persons.",3.0,HVAC_panel.png
EL005,"Equipment / Conductors are exposed to accidental contact by persons

Equipment is energized; 
• covers or other protective barriers are not present or damaged; 
• live parts are exposed to accidental contact; and
• in an area that is not normally accessible to persons.",3.0,Panel_spa_backroom.png
EL120,"Conductors
Cables, Raceways or conductors are damaged and need to be either replaced or repaired.",3.0,Damaged_cable_at_motor_connection.png
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Corroded_grouning_and_bonding_conductors_and_connections.png
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Corroded_connections_inside_panel_in_sewage_treatment_plant.png
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Evidence_from_previously_installed_and_failed_connections_to_a_sub-service_switch_in_the_sewage_treatment_plant.png
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Sewage_treatment_plant.png
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Corroded_breaker_terminations_inside_sewage_treatment_plant.png
EL244,"All locations
• Equipment showing signs of corrosion, wear or degradation; and 
• repairs to be completed.",3.0,Corroded_neutral_terminations_inside_panel_in_sewage_treatment_plant.png
