"","Insp_Number","Pmt_Number","CREATEDATE","ACTUALENDDATE","SO","Tech_Insp","Phy_Insp","PREFIX_INSPTYPE","DSCP_INSPTYPE","NAME_INSPSTATUS","SO_Evl_1","BCSA_Evl_1","Hzd_Svrty_1","Dscp_Hzd","COMMENTS","VERSIONNUMBER","Dscp_ImChkLstCtgy","AddressLine1_Insp","AddressLine2_Insp","AddressLine3_Insp","StreetType_Insp","City_Insp","Region_Insp","Province_Insp","PostalCode_Insp","Site_Lat","Site_Lon","RAP_Score","AppldDate_Pmt","PM_PERMIT_TYPE","PMTCLASS","PMTSTATUS","Pmt_Holder"
"1","AMOP-344983-2015","7198","4/7/2015","4/2/2015","Don Ulansky","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","","(Prior to further Operation) Obtain an Op",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"12/1/1974","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"2","AMOP-336897-2015","7236","3/20/2015","3/20/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","3 - Moderate","During a periodic inspection of the amusement device one of the four drive/braking wheels that propel and brake the ride car cables was found to be inoperable and not in contact with the braking surface. This condition impairs the driving and braking perf","(14 Days or prior to next set-up) Hydraul",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"12/1/1977","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"3","AMOP-354081-2015","11723","4/23/2015","4/23/2015","Don Ulansky","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","3 - Moderate","","(Prior to Operation) Insert K-Bar pins in",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"1/1/1989","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"4","AMOP-364277-2015","2037096","5/13/2015","5/13/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #2, A rotten plank in decking over a partitioned section of the pool could potential fail under the weight of a person. This area would normal only be accessed by staff.","(1 days) or prior to public operations. I",1,"Non-Compliances for Amusement Devices Technology","4150","COLUMBIA VALLEY",NA,"Highway","Cultus Lake","Lower Mainland South","BC","V2R5H6",NA,NA,NA,"5/1/1985","AM - Operating","Waterslide","Active","Cultus Lake Waterpark Ltd"
"5","AMOP-364275-2015","2037097","5/13/2015","5/13/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #1, Potential shock hazard from exposed electrical connection and the fact that the light fixture is filled partially with water. It is assumed the circuite is dead but this will need to be verified by the contractor. (See Photo)","(1 days) or prior to operation. Light fix",1,"Non-Compliances for Amusement Devices Technology","4150","COLUMBIA VALLEY",NA,"Highway","Cultus Lake","Lower Mainland South","BC","V2R5H6",NA,NA,NA,"5/1/1985","AM - Operating","Waterslide","Active","Cultus Lake Waterpark Ltd"
"6","AMOP-364273-2015","2037098","5/13/2015","5/13/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #1, Electric shock hazard, open electrical connections (see photo). It is assumed that the circuit/s were not energized but this is to be verified by the  contractor.","(1 days) or prior to operations. Electric",1,"Non-Compliances for Amusement Devices Technology","4150","COLUMBIA VALLEY",NA,"Highway","Cultus Lake","Lower Mainland South","BC","V2R5H6",NA,NA,NA,"5/1/1985","AM - Operating","Waterslide","Active","Cultus Lake Waterpark Ltd"
"7","AMOP-366790-2015","2037100","5/20/2015","5/20/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Surface repairs required.","(14 days) Ensure all exit signs are prope",1,"Non-Compliances for Amusement Devices Technology","4150","COLUMBIA VALLEY",NA,"Highway","Cultus Lake","Lower Mainland South","BC","V2R5H6",NA,NA,NA,"5/1/1985","AM - Operating","Waterslide","Active","Cultus Lake Waterpark Ltd"
"8","AMOP-349152-2015","2037375","4/15/2015","4/8/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item #4.","(1 Day) Tighten loose drive tire pillow b",1,"Non-Compliances for Amusement Devices Technology","20418","76TH",NA,"Avenue","Langley","Lower Mainland South","BC","V2Y1W2",49,-12,NA,"3/1/1986","AM - Operating","Kiddie Rides","Active","Shooting Star Amusements Ltd"
"9","AMOP-347970-2015","2037896","4/13/2015","4/8/2015","David Looney","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","2_Physical Inspection","","1 - Insignificant","","(1 day) Ensure track is correctly blocked",1,"Non-Compliances for Amusement Devices Technology","20418","76TH",NA,"Avenue","Langley","Lower Mainland South","BC","V2Y1W2",49,-12,NA,"7/1/1987","AM - Operating","Kiddie Rides","Active","Shooting Star Amusements Ltd"
"10","AMOP-363829-2015","2038485","5/12/2015","5/12/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Trim foliage.","(7 days) Ensure ""Caution"" sign is not obs",1,"Non-Compliances for Amusement Devices Technology","","PO BOX 220",NA,"","Rosedale","Lower Mainland South","BC","V0X1X0",NA,NA,NA,"7/1/1988","AM - Operating","Waterslide","Active","Trans Canada Waterslides (2007) Ltd."
"11","AMOP-363819-2015","2038488","5/12/2015","5/12/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Surface repair required.","(7 days) Waterslide running surface shows",1,"Non-Compliances for Amusement Devices Technology","","PO BOX 220",NA,"","Rosedale","Lower Mainland South","BC","V0X1X0",NA,NA,NA,"8/1/1988","AM - Operating","Waterslide","Active","Trans Canada Waterslides (2007) Ltd."
"12","AMOP-363850-2015","2038489","5/12/2015","5/12/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Surface repair required.","(7 days) Repair crack in fiberglass at di",1,"Non-Compliances for Amusement Devices Technology","","PO BOX 220",NA,"","Rosedale","Lower Mainland South","BC","V0X1X0",NA,NA,NA,"8/1/1988","AM - Operating","Waterslide","Active","Trans Canada Waterslides (2007) Ltd."
"13","AMOP-347913-2015","2038796","4/13/2015","4/10/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item#1","( 7 days ) Many broken wires identified i",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49,-12,NA,"1/1/1989","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"14","AMOP-354131-2015","2038950","4/23/2015","4/22/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 2, cable clamps to be reinstalled","(7 days) Ensure all ""R"" and ""D"" clips are",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"4/1/1988","AM - Operating","Kiddie Rides","Active","West Coast Amusements Ltd"
"15","AMOP-342432-2015","2039159","3/31/2015","3/30/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Checklist item 3","(0 Days) Tighten hitch bar nylock nut at",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49,-12,NA,"8/1/1989","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"16","AMOP-405885-2015","2039408","7/10/2015","7/9/2015","Don Ulansky","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","","(1 day) Extend permitter fencing to provi",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"12/1/1989","AM - Operating","Kiddie Rides","Cancelled","West Coast Amusements Ltd"
"17","AMOP-351272-2015","2040326","4/20/2015","4/21/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #1, Cover for motor overload and timer box is not secure. Box is located at ride center and not accessable to public. Electrical
 shock hazard to maintence staff if cover were to fall off.","(1 days) or prior to operation. Cover for",1,"Non-Compliances for Amusement Devices Technology","2901","HASTINGS",NA,"Street","Vancouver","Lower Mainland North","BC","",49,-12,NA,"3/27/1991","AM - Operating","Kiddie Rides","Active","Pacific National Exhibition"
"18","AMOP-345237-2015","2040367","4/7/2015","4/3/2015","Don Ulansky","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","3 - Moderate","","(Prior to further operation) Obtain a val",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley City","Lower Mainland South","BC","V2Y1P9",49.1295576,-122.6515794,NA,"9/1/1995","AM - Operating","Inflatable Devices","Cancelled","West Coast Amusements Ltd"
"19","AMOP-341855-2015","2040369","3/30/2015","3/31/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","3 - Moderate","Line #1. By use of the Eli Bridge ferris wheel test gauge. Excessive wear was noted at multiple locations of the Y castings (bearing for suspension pin) and excessive wear was noted on the majority of checked seat pins. A failure of this component could c","""(30 days) By use of the Eli Bridge ferri",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"4/9/1991","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"20","AMOP-366820-2015","2040468","5/20/2015","5/20/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Surface repairs required.","(14 days) Renew height lettering on the 1",1,"Non-Compliances for Amusement Devices Technology","4150","COLUMBIA VALLEY",NA,"Highway","Cultus Lake","Lower Mainland South","BC","V2R5H6",NA,NA,NA,"7/24/1991","AM - Operating","Waterslide","Active","Cultus Lake Waterpark Ltd"
"21","AMOP-345987-2015","2040671","4/8/2015","4/8/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Passed","","","0 - Compliant","","",1,"","20418","76TH",NA,"Avenue","Langley","Lower Mainland South","BC","V2Y1W2",49,-12,NA,"11/12/1991","AM - Operating","Kiddie Rides","Active","Shooting Star Amusements Ltd"
"22","AMOP-342415-2015","2040845","3/31/2015","3/30/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","1 - Insignificant","Checklist item#2.","(7 Days or prior to next set up) Install",1,"Non-Compliances for Amusement Devices Technology","7120","205",NA,"Street","Langley","Lower Mainland South","BC","V2Y1T1",49,-12,NA,"2/3/1992","AM - Operating","Kiddie Rides","Active","R F Hauser Shows Ltd, Robert / Wendy Hauser"
"23","AMOP-345551-2015","2041020","4/8/2015","4/8/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #3. Potential electrical shock hazard  due to exposed lamp sockets within reach of the riding public. Device was not operating for public at the time of inspection","(7 days) or next setup. Perimeter lightin",1,"Non-Compliances for Amusement Devices Technology","20418","76TH",NA,"Avenue","Langley","Lower Mainland South","BC","V2Y1W2",49,-12,NA,"5/20/1992","AM - Operating","Kiddie Rides","Active","Shooting Star Amusements Ltd"
"24","AMOP-345553-2015","2041749","4/8/2015","4/16/2015","Cam Surine","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item #3","""(14 Days or prior to next set-up) Repair",1,"Non-Compliances for Amusement Devices Technology","20418","76TH",NA,"Avenue","Langley","Lower Mainland South","BC","V2Y1W2",49,-12,NA,"4/5/1993","AM - Operating","Major Rides","Active","Shooting Star Amusements Ltd"
"25","AMOP-354672-2015","2041802","4/24/2015","4/24/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","See item 7, restore safety harness functions.","(0 days) Provide NDT report. This has bee",1,"Non-Compliances for Amusement Devices Technology","6982","206TH",NA,"Street","Langley","Lower Mainland South","BC","V2Y1R2",49,-12,NA,"5/20/1993","AM - Operating","Major Rides","Active","West Coast Amusements Ltd"
"26","AMOP-373202-2015","2041832","5/28/2015","5/25/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist 2","""(10 Days) Replace the hardware and left",1,"Non-Compliances for Amusement Devices Technology","4799","HWY 17",NA,"","Tsawwassen","Lower Mainland North","BC","",NA,NA,NA,"6/7/1993","AM - Operating","Waterslide","Expired","Splashdown Waterparks Inc"
"27","AMOP-372650-2015","2041833","5/27/2015","5/25/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Checklist item1","""(10 days) Repair chip in the second flum",1,"Non-Compliances for Amusement Devices Technology","4799","HWY 17",NA,"","Tsawwassen","Lower Mainland North","BC","",NA,NA,NA,"6/7/1993","AM - Operating","Waterslide","Expired","Splashdown Waterparks Inc"
"28","AMOP-373098-2015","2041834","5/28/2015","5/27/2015","Rolf Lutje","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #3. Support yoke to flume flange connection missing lag bolts that secure the yoke to the flange (see photo). This component was held in place by the weight of the flume and there was no indication of movement of the yoke. Staff at the time of inspec","(1 days) Handrail between the ""fast"" and",1,"Non-Compliances for Amusement Devices Technology","4799","HWY 17",NA,"","Tsawwassen","Lower Mainland North","BC","",NA,NA,NA,"6/7/1993","AM - Operating","Waterslide","Expired","Splashdown Waterparks Inc"
"29","AMOP-373381-2015","2041835","5/28/2015","5/27/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Line #2, Chipping in flume surface and open flume joints present abrasion risk to riders.","(1 days) or prior to public operations. I",1,"Non-Compliances for Amusement Devices Technology","4799","HWY 17",NA,"","Tsawwassen","Lower Mainland North","BC","",NA,NA,NA,"6/7/1993","AM - Operating","Waterslide","Expired","Splashdown Waterparks Inc"
"30","AMOP-381223-2015","2041910","6/9/2015","6/9/2015","Wayne Callender","AM","Y","AMOP","AM Operating: Periodic Assessment","Conditional Passed","","","2 - Minor","Repair hand rail at top platform.","(14 days) (or  prior to opening) Watersli",1,"Non-Compliances for Amusement Devices Technology","","-",NA,"","Salmon Arm","Interior","BC","",NA,NA,NA,"6/11/1993","AM - Operating","Waterslide","Active","0934970 BC Ltd DBA Salmon Arm Water Slides"
